BeerId,BeerName
1040593,Barrel Aged Inspiration
1045284,Dunkelweizen
1078219,Easy Peasy
1081712,GRITz
1082056,Foreign Export Stout
1092331,Dry Hopped Wheat
1149406,Bridesmaids' Tears
1181693,Public Enemy
119056,Deep Ellum IPA
1205273,El Super Bee De Saison (w/ Warrior Hops)
1284277,Baracus BA American Brown Ale
1296156,Blanche de BrainDead
1309090,Brett's Get It On 2.0
1316341,Firebox Ale
1317401,Play Date
1332998,Ice Bucket APA
1350138,Vertigo
1353885,Barrel-Aged Legion (Batch #5: Woodford Reserve)
1360128,English Mild
1361268,Given To Rye
1389934,Sex In A Canoe
1396953,We Own the Night
1406632,Local Legend
1413445,Secret Church
1431476,Fr?¬hlingzeit
1477875,We Own Brunch
1494026,Barrel-Aged Legion (Batch #6: The Macallan)
1504257,Idle Playthings
1529364,Tactical Combat Firefighter
1534018,Imperial Fire Ant Funeral
1534134,Payne Pils
154678,Royal Scandal
1554479,Texas Helles
1566120,Queen Bee Grapefruit Saison
1580083,Imperial Stout
1586982,Clandestine
1623180,Tipperyery Stout
1675406,100 Million Angels Singing (w/ Pineapple)
1684171,Darth Lambicus
1724119,Paladin
1734161,Soul Diversion
174347,Golden Opportunity
1753195,Oaty McOatface
1763731,Biere De Lune
1798274,Barampus
1825497,The Piper At the Gates of Dawn
1841939,Honey Lager
1843561,Green Bullet Double IPA
1858986,Vin Dicel
1877466,Turn Out the Lights
1881912,Be??r Tunne
1900155,Darkest Hour Imperial Stout
1917312,Pink Tuxedo
1923379,Cherry Chocolate Double Brown Stout
1954124,Good To Go
1957464,Silly Gose
1980787,El M?­s Ching??n
1989449,Deep Ellum Lager
1989463,Deep Summer
201719,Dallas Blonde
2028725,Good Call
206406,Georgia Peach Southern Style Pale Ale
2067848,The Caucasian Aged In Bourbon Barrels (2016)
2074442,Crush It
2124119,Sol Y Luna
2154412,Passiflora White IPA
2200614,Memory Hole
2261086,Doctor's Orders
2267695,Nimbus
227032,Local Buzz
2280107,Tropical Combat Firefighter
2281926,Geistbier
2299997,Exhausted Nihilist
2343004,Tropical Tactical Combat Firefighter
2349817,Cerveza Oscura
2372859,Arboretum Amber
2418941,Darkest Hour - Port Barrel Aged (2017)
2437074,Mother Night
2449305,Brett Pale Ale
2475129,Dayshine Sundream
2489548,Fifth & Flemish Anniversary Saison
2489604,2018 Public Enemy No. 1
2536260,Happiness Comes From Within
2540305,Welcome To Helles
2548163,Texas Lager
2571904,Frootie Tang
2578489,T.A.P. Anniversary IPA
2596879,NE IPA
2611697,Army of Frogs - Summit
2614162,Four Corners Belgian Double Ipa
261839,Steam Punk Rousing Steam Lager
2621092,Helles Yeah!
2625202,The Caucasian Aged in Bourbon Barrels (2017)
2654005,Hawaiian Roadrunner - R & D Series #1
2676880,Wicked Grins
2688657,Rumble In Russia
2699843,European Vacation
2727808,Queen Bee (Peach)
2730837,Love Cult
276691,Paletero Pale Ale
279051,Public Ale ESB
279056,Brown Ale
292568,Block Party Porter
296272,Vienna Lager
339179,Inspiration Ale
342746,Mosaic IPA
343884,Witbier
349290,El Super Bee De Saison
383965,The DUKE
388073,El Ching??n
436961,"Golden Opportunity, Dry-hopped"
446746,Sit Down Or I'll Sit You Down
529351,Four Swords
545837,Black Curtains
556676,Oak Cliff Coffee Ale
582264,Notorious O.A.T.
594726,Dry Hopped Velvet Hammer
63554,Velvet Hammer
650840,Dreamcrusher Double IPA
671988,Neato Bandito
686031,Boss Lady
709511,The Caucasian
711159,Thrilla In Brazilla
73612,Great Scot!
742572,Razzy Witbier
779418,Legion Russian Imperial Stout
784915,Funnel Cake Ale (State Fair Of Texas)
821420,100 Million Angels Singing
837347,Off the Leash Shamefully Good TX Red Ale
837350,Golden Rey Dandy Bavarian Wit
848745,A Lost Epic
863899,50 FT Jackrabbit
867998,Oaked Mosaic IPA
868007,Sit Down Or I'll Sit You Down (w/ Pineapple)
880312,Fire Ant Funeral
880320,Somethin' Shady
898122,Barrel-Aged Legion
926076,Sledge Hammer
955072,Brett's Get It On
955077,Wit 'N Wild
991708,Sit Down Or I'll Sit You Down (w/ Cascade)
995687,Heart O' Texas
2301852,Hop Seeker 2017
2612544,Oak Cliff Coffee Ale (with Cinnamon And Vanilla)
2425812,Tobias
2513682,Barrel Crusher 2018
2732496,Caucasian Barrel Aged In Knob Creek - 2018
2426254,The Caucasian (2017)
2722569,"Hey, I'm Talking To You"
2753558,Sit Down Or I'll Sit You Down (w/ Strawberry)
2761688,Golden Opportunity (w/ Cranberries)
2644070,Standard Diabolical Agreement
2745491,Bushels 'N' Brussels
2687098,"Rye, You Fools!"
2716153,Frog Ipa Chinook
2647517,Dry Hopped Kolsch - Amarillo
2743667,Clocked Out
2474896,Party Pooper
2721169,Trouble Dutch
2676967,Doubt & Pain
2540376,Wiere Guards
2602956,Frog IPA: Centennial
2037032,Main Street Kolsch
2540873,Soul Diversion (2017)
2668459,Braindead Hapoiness Come From Within Cask Cryo
2707145,Birthright Berliner Weisse
2673755,English Strong
2712259,American Pils
2491909,Heart Oƒ?? Texas (2018)
2614163,Biere De Mars
2762713,Peach Wheat
2491888,El Chingon (2018)
2603891,ESB - Extra Special Bitter
2726618,Space Force
2726675,Frylock
2628356,Sex In A Canoe (French Version)
2714042,La Mosaique
2315973,Funnel Cake Ale (State Fair Of Texas) (2017)
